group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
11,dhd,96.732285,6.010488,0.0,0.0,0.9962073324905183,0.24318069102330964
11,Cyp1,92.206276,5.3696756,0.0,0.0,0.9785082174462706,0.22714498264175897
11,CycB,67.861885,5.27209,0.0,0.0,0.9355246523388117,0.14101504380889404
11,Df31,89.97135,5.2694454,0.0,0.0,0.97724399494311,0.18796495288477436
11,me31B,83.89184,5.1788483,0.0,0.0,0.9671302149178256,0.19391634980988592
11,RNASEK,50.064903,5.068207,2.6715214373291105e-257,2.8420440822650114e-256,0.8445006321112516,0.10679451148950239
11,gnu,50.363182,5.0067186,1.0462340987674039e-260,1.1434252445545397e-259,0.8558786346396966,0.10977020995205819
11,Nlp,56.316364,4.919461,5.368375947743228e-297,6.429192751788297e-296,0.8761061946902655,0.13241858158373285
11,CG11825,14.087762,4.914051,1.9566686885201456e-40,5.638814664323187e-40,0.23261694058154236,0.008431145643908084
11,smt3,59.7561,4.8490825,0.0,0.0,0.9026548672566371,0.1444866920152091
11,CG11267,56.031273,4.8173256,1.5557767255104246e-297,1.897288689646859e-296,0.8862199747155499,0.1448173251777153
11,roh,46.341835,4.766192,1.4426517966588057e-236,1.428368115503768e-235,0.8179519595448799,0.11935857166473797
11,hoip,50.02469,4.7444496,1.993731540700035e-260,2.1670995007609076e-259,0.8470290771175727,0.12398743593982477
11,wisp,50.252773,4.7280326,1.5471296279835066e-264,1.7001424483335237e-263,0.8533501896333755,0.11853198875847247
11,fabp,66.65788,4.6964736,0.0,0.0,0.9355246523388117,0.23689866093569184
11,BigH1,45.10514,4.6962767,2.9377456548453496e-230,2.838401598884396e-229,0.8141592920353983,0.11010084311456439
11,His2Av,55.632164,4.673038,2.2070851093380387e-297,2.675254677985501e-296,0.8862199747155499,0.1494461894528021
11,CG32267,34.24598,4.6694407,4.462293070769331e-161,3.045933836702615e-160,0.6801517067003793,0.06463878326996197
11,CG14545,35.776382,4.650233,9.039707560312915e-171,6.433955558941576e-170,0.7029077117572693,0.06943296412630187
11,COX7A,39.862103,4.618629,1.2894826620599551e-196,1.0074083297343399e-195,0.7597977243994943,0.09968589849561911
11,pgc,39.767506,4.5639606,3.595507629884705e-197,2.842298521647988e-196,0.786346396965866,0.10745577781451479
11,UK114,28.702879,4.5406647,3.695274707563403e-126,2.0586488621523137e-125,0.5916561314791403,0.048933708050917506
11,RpL10,83.03547,4.537686,0.0,0.0,0.9873577749683944,0.4623904777649198
11,mtrm,29.739809,4.5289783,1.1609043556328811e-132,6.633739175045036e-132,0.6144121365360303,0.056372954207306994
11,cype,43.187965,4.51158,1.5714958561829298e-218,1.455088755724935e-217,0.8053097345132744,0.12316085303355927
12,Ldsdh1,6.2148423,7.2331085,1.9289317494946526e-09,4.1304748383183134e-09,0.13602941176470587,0.0009135200974421437
12,l(3)72Dr,15.878855,7.2017055,1.3199372207932053e-40,6.534342677194085e-40,0.5404411764705882,0.0062423873325213155
12,CG15570,70.12491,6.977292,1.69927500708269e-182,5.962368445904175e-181,0.9742647058823529,0.10444579780755177
12,srp,170.50761,6.8410997,0.0,0.0,1.0,0.2321863580998782
12,Cad74A,64.145805,6.5424285,1.475132419228832e-171,4.403380355906961e-170,0.9852941176470589,0.060444579780755174
12,CG43333,16.987253,6.3860226,1.2222962288490794e-44,6.518913220528424e-44,0.6470588235294118,0.05176613885505481
12,CG7888,43.94766,6.37358,1.5817408315858926e-127,3.163481663171785e-126,0.9632352941176471,0.12911084043848964
12,Slc45-1,18.513319,6.3541217,4.319970691960959e-50,2.5714111261672373e-49,0.6580882352941176,0.040194884287454324
12,CG7912,6.712049,6.3245525,1.1170243849179332e-10,2.4795213871652234e-10,0.16176470588235295,0.001979293544457978
12,RhoGEF64C,68.73839,6.24842,2.018159864465017e-194,7.76215332486545e-193,0.9963235294117647,0.2740560292326431
12,yellow-g,44.91459,6.2058296,3.6123442594040473e-131,7.604935282955888e-130,1.0,0.3692143727161998
12,CG1077,22.806854,6.156617,3.538608820651524e-65,2.7115776403459953e-64,0.7610294117647058,0.05115712545676005
12,Pgant9,152.3455,6.1293826,0.0,0.0,1.0,0.5111144945188795
12,CG32645,29.688282,6.0753765,4.7027581690246557e-88,5.196417866325586e-87,0.8860294117647058,0.08115103532277711
12,CG13737,34.730537,6.008243,5.710819383131999e-103,7.931693587683332e-102,0.9044117647058824,0.06242387332521315
12,CG33223,27.349377,5.804132,2.7227163903572195e-80,2.6563086735192387e-79,0.8419117647058824,0.04186967113276492
12,lncRNA:CR45170,19.34019,5.7758636,4.5594138833966465e-53,2.8144530144423743e-52,0.6544117647058824,0.02192448233861145
12,CG13114,38.252007,5.706072,1.812768863158778e-113,2.9717522346865216e-112,0.9742647058823529,0.26004872107186355
12,Muc4B,22.64853,5.6500845,1.0107106566122675e-64,7.656898913729298e-64,0.7941176470588235,0.09546285018270402
